Ciudad,Cultivo,year,Mes,Kilos,Hectáreas,tempC,precipMM,sunHour,uvIndex,produccion_por_hectarea
Barcelona,Maíz,2008,7,973493,15421.892610771096,25.451612903225808,0.30000000000000004,14.435483870967742,5.935483870967742,63.124094076500334
Barcelona,Maíz,2008,8,227664,15257.159949166953,26.677419354838708,0.3129032258064516,12.270967741935483,6.096774193548387,14.921781036478585
Barcelona,Maíz,2008,9,646140,14428.691635491617,23.166666666666668,0.4633333333333333,10.993333333333334,5.433333333333334,44.78160711471776
Barcelona,Maíz,2008,10,205189,779.9428234690846,19.806451612903224,1.696774193548387,10.180645161290323,4.516129032258065,263.08210528477707
Barcelona,Maíz,2008,11,1127250,5303.690432541233,14.2,1.0066666666666666,9.629999999999999,3.8,212.54068546000798
Barcelona,Maíz,2008,12,1429813,15197.85559476512,11.612903225806452,1.229032258064516,7.516129032258065,3.161290322580645,94.07991746496769
Barcelona,Maíz,2009,1,522288,8720.87746258819,11.193548387096774,0.6774193548387096,8.038709677419355,2.935483870967742,59.88938638807509
Barcelona,Maíz,2009,2,333564,2589.5830352104667,12.214285714285714,0.2928571428571428,10.235714285714286,3.1785714285714284,128.80992633352258
Barcelona,Maíz,2009,3,691300,12973.142921831923,14.709677419354838,0.8967741935483872,10.587096774193547,3.6129032258064515,53.287010261533624
Barcelona,Maíz,2009,4,1428990,12454.18011480736,15.9,1.47,10.879999999999999,3.8333333333333335,114.73978911715005
Barcelona,Maíz,2009,5,181567,1185.666773603188,21.06451612903226,0.25806451612903225,13.36774193548387,5.064516129032258,153.13493136712103
Barcelona,Maíz,2009,6,1348470,10257.593626325137,24.533333333333335,0.12666666666666665,14.466666666666667,5.666666666666667,131.46065725778806
Barcelona,Maíz,2009,7,841092,14989.880091310728,26.677419354838708,0.1870967741935484,14.235483870967743,6.064516129032258,56.11065564744315
Barcelona,Maíz,2009,8,42098,8585.93211811139,27.806451612903224,0.2129032258064516,12.070967741935483,6.258064516129032,4.9031368313752886
Barcelona,Maíz,2009,9,625200,8832.87373460733,24.3,0.7733333333333333,11.419999999999998,5.666666666666667,70.78104123128774
Barcelona,Maíz,2009,10,833249,15495.652685128334,20.903225806451612,0.9516129032258066,10.670967741935485,5.0,53.77308183989535
Barcelona,Maíz,2009,11,1163160,9505.644524889638,17.166666666666668,0.11666666666666667,9.876666666666667,4.4,122.36519017246802
Barcelona,Maíz,2009,12,860622,3459.0237584190054,12.483870967741936,1.3225806451612903,7.745161290322581,3.2580645161290325,248.80488256413688
Barcelona,Maíz,2010,1,1253020,15406.557027386416,9.838709677419354,1.4064516129032258,6.967741935483871,2.6129032258064515,81.33030616591718
Barcelona,Maíz,2010,2,594132,4402.714370437932,10.928571428571429,1.2035714285714287,9.357142857142858,3.0357142857142856,134.9467510291617
Barcelona,Maíz,2010,3,323299,8958.842116358876,12.580645161290322,1.1129032258064515,10.516129032258064,3.193548387096774,36.08714115071354
Barcelona,Maíz,2010,4,1220190,7083.249024743496,16.466666666666665,0.33999999999999997,10.973333333333333,4.066666666666666,172.26416800222358
Barcelona,Maíz,2010,5,1549380,2557.8791984870304,18.451612903225808,1.7806451612903225,12.932258064516128,4.451612903225806,605.728370955301
Barcelona,Maíz,2010,6,475560,7290.526751056352,22.8,0.4766666666666667,14.3,5.233333333333333,65.22985460976388
Barcelona,Maíz,2010,7,1369301,14086.46126620113,27.387096774193548,0.35806451612903223,14.432258064516128,6.064516129032258,97.20688355460025
Barcelona,Maíz,2010,8,348378,14953.598188444153,25.774193548387096,1.3096774193548388,11.82258064516129,5.967741935483871,23.29726903249411
Barcelona,Maíz,2010,9,64200,9107.072600092779,22.933333333333334,1.7733333333333334,10.923333333333334,5.4,7.049466147809776
Barcelona,Maíz,2010,10,850051,8412.14289094586,18.806451612903224,2.1774193548387095,10.458064516129031,4.451612903225806,101.0504708514789
Barcelona,Maíz,2010,11,617850,858.328980360846,14.4,0.4,9.663333333333332,3.533333333333333,719.8288932761569
Barcelona,Maíz,2010,12,1419459,12317.843775035504,11.32258064516129,1.032258064516129,7.8032258064516125,2.903225806451613,115.23599632565633
Barcelona,Maíz,2011,1,553629,1187.0865778927498,11.290322580645162,0.4645161290322581,8.212903225806452,2.903225806451613,466.3762612688044
Barcelona,Maíz,2011,2,61796,4063.531036408617,13.25,0.18928571428571428,10.02142857142857,3.2142857142857144,15.207463520351459
Barcelona,Maíz,2011,3,48267,833.46653066575,14.290322580645162,1.8838709677419354,10.36774193548387,3.6129032258064515,57.91114366817544
Barcelona,Maíz,2011,4,446790,2487.3007502552,18.7,0.7233333333333333,11.35,4.233333333333333,179.62845866313467
